순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR_1,WPA,포지션,BB/9
118,정성종,롯데,0.19,32,0,0,0,1,1,0,0,49.2,33,30,231,64,10,1,6,24,3,4,24,0,4,5.44,5.52,1.77,77.1,75.9,0.19,-0.09,우중,4.39 
119,하준영,KIA,0.19,59,0,0,0,6,2,0,15,52.2,31,29,243,59,9,1,5,31,2,0,51,0,1,4.96,4.35,1.71,84.6,96.3,0.19,-1.62,좌중,5.34 
120,김영규,NC,0.18,30,1,1,10,5,4,0,1,66.1,40,39,307,82,6,1,7,31,0,6,46,0,4,5.29,5.06,1.7,79.6,83.4,0.18,-0.62,좌선,4.22 
121,박진태,KIA,0.18,2,0,0,2,0,1,0,0,8.1,4,4,42,10,1,0,0,6,0,3,5,0,0,4.32,5.44,1.92,97.1,77.2,0.18,-0.02,우선,6.67 
122,임준섭,한화,0.17,34,0,0,6,1,3,0,1,49.1,30,23,230,56,14,1,1,28,0,1,26,0,6,4.2,4.38,1.7,98.7,95.9,0.17,-0.6,좌선,5.13 
123,김성훈,한화,0.16,15,0,0,1,0,1,0,0,22.1,12,12,104,24,5,0,3,15,0,1,26,0,6,4.84,4.97,1.75,85.7,83.6,0.16,-0.52,우선,6.11 
124,이영재,LG,0.16,30,0,0,13,5,4,0,2,91,55,49,398,78,14,1,5,66,1,4,58,0,5,4.85,5.12,1.58,84.7,80.1,0.16,-0.14,좌선,6.53 
125,이현승,두산,0.16,9,0,0,0,0,1,0,2,6,2,2,22,4,1,0,0,0,0,0,4,0,0,3,2.07,0.67,136.8,202.5,0.16,0.28,좌중,0.00 
126,장민재,한화,0.16,26,1,0,22,6,8,0,0,119.1,76,72,526,150,25,1,14,27,0,6,103,0,3,5.43,4.03,1.48,76.3,102.7,0.16,-1.45,우선,2.04 
127,김경태,한화,0.16,17,0,0,0,0,0,0,0,11,5,5,54,14,4,0,0,8,0,0,10,0,2,4.09,3.77,2,101.3,111.8,0.16,-0.56,좌중,6.55 
128,이종혁,kt,0.16,5,0,0,0,0,0,0,0,5.1,1,1,25,6,1,1,0,3,0,1,4,0,0,1.69,4.15,1.69,245.3,100,0.16,-0.07,우중,5.29 
129,임찬규,LG,0.15,30,0,0,13,2,5,0,2,88.2,51,49,392,84,20,3,10,46,0,7,72,0,7,4.97,5.04,1.47,82.5,80.3,0.15,-1.21,우선,4.69 
130,강정현,LG,0.15,7,0,0,1,0,0,0,0,10.2,6,6,48,9,1,0,3,6,0,2,8,0,0,5.06,7.81,1.41,81.1,51,0.15,0.13,우선,5.29 
131,김시현,삼성,0.14,14,0,0,0,0,0,0,0,16.1,9,8,71,16,2,0,3,8,0,1,10,0,1,4.41,6.22,1.47,98.4,69.1,0.14,-0.08,우중,4.47 
132,이케빈,SK,0.13,1,0,0,1,0,0,0,0,3,1,1,14,2,0,0,0,3,0,0,3,0,1,3,4.4,1.67,141.9,94.8,0.13,-0.03,우선,9.00 
133,박윤철,한화,0.13,15,0,0,3,0,1,0,0,30,19,17,145,22,3,0,4,30,0,3,21,0,2,5.1,7.04,1.73,81.2,59.4,0.13,-0.21,우선,9.00 
134,조현우,kt,0.13,7,0,0,0,0,0,0,0,7.2,3,3,35,6,2,0,0,5,0,1,9,0,2,3.52,3.4,1.44,117.5,122,0.13,0.01,좌중,6.25 
135,한선태,LG,0.1,6,0,0,0,0,0,0,0,7.1,3,3,29,6,0,0,0,1,0,1,4,0,0,3.68,3.13,0.96,111.5,132.8,0.1,0.01,우중,1.27 
136,김대우,삼성,0.09,44,0,0,0,5,1,0,1,59.2,38,34,253,61,16,2,11,16,0,5,40,0,2,5.13,5.52,1.29,84.6,78.2,0.09,-0.42,우중,2.43 
137,차재용,롯데,0.09,9,0,0,0,0,0,0,0,9.2,6,4,47,9,2,0,0,8,1,0,7,0,1,3.72,4.13,1.76,112.6,100.6,0.09,-0.03,좌중,7.83 
138,김윤수,삼성,0.08,5,0,0,2,1,1,0,0,11.2,6,6,54,10,3,1,2,10,0,0,9,0,0,4.63,6.66,1.71,93.8,64.4,0.08,-0.32,우선,8.04 
139,임정호,NC,0.08,6,0,0,0,0,1,0,0,4.2,2,2,19,3,0,0,0,2,0,0,6,0,0,3.86,2.12,1.07,109.3,201,0.08,0.14,좌중,4.29 
140,김민규,두산,0.07,1,0,0,0,0,0,0,0,2,0,0,8,2,0,0,0,1,0,0,0,0,0,0,4.9,1.5,,84.8,0.07,0,우중,4.50 
141,김정후,LG,0.06,2,0,0,0,0,0,0,0,1.2,0,0,7,1,0,0,0,1,0,0,1,0,0,0,4,1.2,,103.7,0.06,-0.01,우중,7.50 
142,임기영,KIA,0.06,12,0,0,8,2,3,0,0,48.2,33,31,225,67,14,1,7,19,0,2,37,0,0,5.73,5.05,1.77,73.1,82.7,0.06,-0.64,우선,3.55 
143,조한욱,kt,0.04,2,0,0,0,0,0,0,0,2.2,1,1,12,4,0,0,0,1,0,0,0,0,0,3.38,4.53,1.88,122.6,92,0.04,-0.01,우중,4.09 
144,버틀러,NC,0.04,13,0,0,13,3,6,0,0,73.2,46,39,326,78,18,1,6,28,1,2,49,0,4,4.76,4.31,1.44,88.4,97.8,0.04,-1.15,우선,3.44 
145,강백호,kt,0.04,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,6.4,1,,64.9,0.04,0.02,우중,9.00 
146,김진욱,한화,0.04,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,1,0,0,0,0,9.4,1,,44.3,0.04,0,우중,9.00 
147,소이현,NC,0.04,1,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,1,0,0,1,0,1,0,4.4,2,,96,0.04,0.01,우중,9.00 
148,홍상삼,두산,0.04,3,0,0,1,0,0,0,0,5.2,3,3,26,5,0,0,1,4,0,1,5,0,5,4.76,6.58,1.59,86.2,61.2,0.04,0.02,우선,6.92 
149,오석주,LG,0.04,3,0,0,0,0,0,0,0,5,3,3,24,6,1,0,2,3,0,0,4,0,1,5.4,8.8,1.8,76,44.8,0.04,0,우중,5.40 
